	ctrl1_Chap	ctrl1_noChap	ctrl2_Chap	ctrl2_noChap	ctrl3_Chap	ctrl3_noChap	pat1_Chap	pat1_noChap	pat2_Chap	pat2_noChap	pat3_Chap	pat3_noChap
ENSG00000167904	93	110	150	113	102	59	136	117	114	162	188	195
ENSG00000137574	255	181	243	151	116	56	240	163	174	191	259	208
ENSG00000254087	124	134	97	74	117	61	57	78	26	23	102	144
ENSG00000008988	3601	4819	7574	3363	2963	2972	3486	3635	3659	4131	7739	4759
ENSG00000181690	314	295	197	148	134	91	364	283	243	248	278	274
ENSG00000170791	190	191	196	127	147	97	182	175	146	135	211	163
ENSG00000181195	101	114	28	24	39	22	57	36	787	583	298	174
ENSG00000254254	66	63	21	16	13	10	35	20	122	155	29	30
ENSG00000246430	1152	1210	345	265	257	210	232	387	93	107	57	99
ENSG00000104331	1533	1514	2104	1595	1611	1045	1790	1797	1126	1241	1734	1683
ENSG00000169122	183	196	400	309	114	79	342	441	358	436	629	531
ENSG00000253523	11	2	6	16	6	1	10	15	15	21	9	27
ENSG00000215114	212	167	189	177	148	108	166	164	189	213	270	285
ENSG00000137575	1363	1347	1898	1410	1205	965	1652	1672	1843	2107	2430	2257
ENSG00000035681	673	669	1075	746	511	347	864	878	707	796	1078	992
ENSG00000198846	613	493	165	114	70	56	138	125	54	54	95	54
ENSG00000167912	101	56	33	36	22	16	34	24	12	24	10	21
ENSG00000104388	2004	1887	2483	1910	1766	1049	2147	2213	1465	1528	1941	1865
ENSG00000171316	9	11	15	10	26	20	43	52	37	45	41	36
ENSG00000177182	483	663	803	416	191	169	467	502	281	356	559	383
ENSG00000198363	7658	6783	7737	5651	3547	2124	6067	6077	3242	3789	4486	4286
ENSG00000137563	175	93	168	99	105	66	235	101	102	54	98	43
ENSG00000185728	1212	1179	1301	1143	747	528	1210	1322	798	917	1217	1052
ENSG00000172817	15	21	12	9	1	1	51	50	8	13	26	36
ENSG00000104442	359	292	493	301	367	223	351	295	305	298	479	390
ENSG00000066855	193	172	275	226	167	130	270	214	237	180	328	265
ENSG00000205268	65	61	118	93	53	31	224	217	152	159	295	348
ENSG00000179041	152	118	168	139	94	56	179	166	114	127	153	159
ENSG00000147576	42	54	34	22	36	19	51	49	37	42	58	46
ENSG00000169085	8	0	33	22	9	4	3	5	2	1	0	3
ENSG00000185697	194	95	280	149	355	184	155	53	86	15	52	7
ENSG00000175073	188	157	336	185	238	118	312	220	198	198	326	281
ENSG00000104205	55	40	62	52	35	25	59	46	52	49	52	58
ENSG00000178460	30	168	193	24	20	93	29	26	32	23	279	36
ENSG00000245910	441	507	628	429	401	272	479	524	493	531	801	712
ENSG00000121022	361	326	439	359	360	248	392	400	371	378	509	438
ENSG00000104218	176	207	183	129	130	72	208	192	134	113	176	153
ENSG00000066777	664	572	721	550	529	337	726	760	453	471	643	616
ENSG00000046889	91	147	50	81	2	2	101	213	46	85	30	36
ENSG00000165084	27	35	23	26	15	5	18	30	48	36	53	36
ENSG00000254332	16	6	4	11	23	7	12	11	3	3	7	11
ENSG00000137573	3638	3581	19999	11711	6709	5218	2020	1675	4175	3602	7336	6373
ENSG00000140396	501	442	448	350	234	136	510	519	415	421	486	462
ENSG00000067167	7642	9235	6459	5600	3340	2322	4996	6742	4111	5056	6277	7109
ENSG00000213002	2014	3540	2536	1453	882	812	1411	1881	1320	1581	2671	2360
ENSG00000246366	38	37	15	14	7	4	20	16	38	34	36	46
ENSG00000147592	166	149	113	94	46	55	103	110	121	170	213	192
ENSG00000104313	86	106	11	3	0	1	2	4	3	6	2	6
ENSG00000235531	297	278	880	732	463	240	671	705	649	875	1168	1341
ENSG00000178860	354	553	1250	1003	434	288	695	878	1158	1485	2310	2194
ENSG00000104321	71	93	199	160	110	70	173	157	142	175	323	298
ENSG00000147601	202	203	247	169	94	94	153	171	171	158	268	256
ENSG00000164764	277	296	17	8	2	1	9	11	47	21	76	112
ENSG00000147604	102	106	129	140	68	55	148	155	142	135	180	154
ENSG00000121039	539	447	1525	1289	56	38	269	448	2008	2711	8842	8456
ENSG00000250295	1	3	13	6	1	1	4	3	6	19	49	65
ENSG00000040341	292	201	213	168	260	217	205	147	155	175	249	266
ENSG00000104343	207	134	254	185	205	147	276	257	224	266	298	328
ENSG00000154582	347	364	625	477	420	269	416	488	407	385	604	480
ENSG00000175606	146	156	308	319	107	65	225	410	272	213	316	224
ENSG00000154589	48	57	73	54	30	28	33	49	86	68	123	108
ENSG00000104381	67	54	56	37	30	16	83	66	60	51	87	66
ENSG00000253341	16	30	35	15	8	17	17	16	8	7	30	19
ENSG00000254300	4	3	4	1	1	0	4	8	52	42	46	47
ENSG00000253661	8	2	1	0	2	0	10	2	38	43	45	42
ENSG00000091656	308	249	197	154	128	82	332	348	708	637	943	947
ENSG00000164751	375	328	387	263	261	146	346	300	254	251	310	347
ENSG00000171033	9	7	20	20	8	7	22	14	41	32	30	22
ENSG00000104427	219	221	240	168	135	123	251	262	224	236	348	335
ENSG00000104432	62	66	77	82	24	14	74	85	83	125	100	192
ENSG00000104435	166	88	342	328	0	0	23	28	210	396	354	846
ENSG00000164683	298	387	727	1549	79	136	393	1872	536	376	893	236
ENSG00000147586	98	87	135	60	69	47	84	74	88	77	129	113
ENSG00000251867	12	11	12	10	18	9	32	16	12	8	14	24
ENSG00000205189	273	280	244	226	195	184	312	291	180	165	312	310
ENSG00000164684	27	30	19	22	39	23	152	158	79	66	483	394
ENSG00000076641	129	110	178	122	139	88	54	40	17	11	30	21
ENSG00000133731	239	223	251	167	218	165	203	213	173	180	272	235
ENSG00000104231	222	224	228	182	118	74	253	241	204	205	254	253
ENSG00000104497	127	117	94	75	83	64	138	157	97	88	103	122
ENSG00000133739	63	51	75	42	39	27	93	51	46	48	83	62
ENSG00000133740	129	205	201	92	106	129	105	108	82	98	250	125
ENSG00000176731	246	273	291	181	196	154	278	241	237	260	328	252
ENSG00000185015	19	12	26	26	6	1	29	47	16	38	57	69
ENSG00000123124	339	263	426	336	377	242	368	356	237	253	360	323
ENSG00000176623	436	388	498	371	384	264	471	399	440	424	600	566
ENSG00000085719	1137	966	1223	831	814	446	976	920	672	683	874	849
ENSG00000156103	141	97	108	75	631	329	182	104	113	91	160	205
ENSG00000251136	26	43	60	38	30	32	45	63	24	31	52	69
ENSG00000104312	312	288	286	261	166	145	188	220	209	219	263	228
ENSG00000164823	173	186	197	137	156	132	127	173	123	143	220	203
ENSG00000104320	551	436	519	360	380	234	533	427	415	417	562	487
ENSG00000104325	488	419	445	335	335	226	379	412	340	374	444	411
ENSG00000180694	252	263	263	233	158	90	240	265	145	187	192	221
ENSG00000123119	74	79	110	66	111	98	91	66	53	49	102	96
ENSG00000253250	46	56	96	50	87	58	63	59	55	48	72	49
ENSG00000155099	173	176	342	212	135	123	242	221	212	238	320	237
ENSG00000253358	24	20	53	39	19	26	20	26	29	20	42	31
ENSG00000253738	222	154	274	179	146	105	230	194	172	173	244	200
ENSG00000155100	116	96	133	73	144	103	159	107	94	110	145	149
ENSG00000079102	419	357	470	345	131	118	681	571	308	395	544	554
ENSG00000205133	309	318	362	287	295	190	336	374	331	429	471	520
ENSG00000212999	133	134	174	116	102	73	138	144	131	179	202	212
ENSG00000188343	281	249	262	163	154	93	296	214	236	213	330	270
ENSG00000183808	133	91	143	102	107	67	254	127	117	128	199	185
ENSG00000253722	15	20	24	16	19	5	27	13	13	21	29	34
ENSG00000164953	153	198	178	110	82	56	217	281	132	144	175	151
ENSG00000164951	525	444	498	339	325	245	517	506	375	324	488	329
ENSG00000164949	762	1135	545	385	170	133	365	544	378	408	450	392
ENSG00000164944	743	613	905	636	611	418	856	804	653	600	792	697
ENSG00000156162	754	732	722	523	416	265	770	674	522	457	644	617
ENSG00000254307	128	125	137	89	71	58	151	119	97	104	152	135
ENSG00000164941	437	422	384	246	218	157	415	332	337	269	450	346
ENSG00000175305	88	87	109	30	14	19	139	47	85	27	119	32
ENSG00000156170	58	53	72	52	57	43	101	105	73	81	119	94
ENSG00000164938	350	372	621	553	287	232	822	953	456	494	660	693
ENSG00000175895	154	137	117	108	133	99	147	163	97	89	144	120
ENSG00000156172	52	37	35	12	29	24	55	54	41	59	68	79
ENSG00000156466	455	368	311	319	468	233	265	287	43	31	119	93
ENSG00000156467	879	1045	1369	727	681	601	789	764	734	809	1383	933
ENSG00000254224	292	5	5	248	229	1	272	256	247	301	3	348
ENSG00000156469	86	92	130	108	70	53	143	127	122	108	159	148
ENSG00000156471	804	851	941	644	572	447	680	685	638	512	1026	825
ENSG00000169439	1194	1340	3099	2732	7220	4156	2326	2087	1416	1280	3364	2473
ENSG00000104324	532	631	1019	829	933	657	878	940	628	749	617	548
ENSG00000180543	441	365	314	272	287	211	363	364	186	188	349	332
ENSG00000147649	1693	1482	2232	1774	1678	1026	2075	2030	1256	1299	2043	1908
ENSG00000104341	472	378	457	362	589	444	732	638	433	415	595	496
ENSG00000132561	289	229	162	140	73	39	198	120	165	118	87	70
ENSG00000156482	4305	3878	5513	4101	3558	2396	4524	4474	4156	4276	5509	4936
ENSG00000245970	967	2729	3882	1021	819	1764	1060	1184	1018	1022	3934	1218
ENSG00000132541	120	122	138	118	63	45	163	173	158	187	199	180
ENSG00000104356	107	70	92	65	47	37	129	77	67	62	88	105
ENSG00000104361	755	807	653	513	277	196	766	696	455	426	696	511
ENSG00000104375	437	359	295	231	312	200	313	304	244	225	286	311
ENSG00000156486	97	112	69	69	31	20	68	50	46	54	43	50
ENSG00000272321	17	23	11	6	7	2	9	9	6	7	5	4
ENSG00000164920	3846	3603	891	721	323	240	1117	1098	685	459	836	656
ENSG00000132549	1110	1153	856	666	692	410	1163	1081	462	434	609	616
ENSG00000164919	420	340	539	355	439	311	367	352	401	399	603	434
ENSG00000147669	273	286	386	260	286	202	338	270	271	283	445	365
ENSG00000104450	78	78	95	60	102	77	112	153	84	81	166	123
ENSG00000034677	476	484	629	522	520	423	754	1050	459	526	862	770
ENSG00000186106	29	25	48	22	51	44	57	39	59	46	59	63
ENSG00000070756	11602	10389	16642	12238	10756	7610	13121	11941	12683	12564	14914	12918
ENSG00000164924	3476	3332	4567	3208	3991	2799	3282	3093	2250	2106	3656	2836
ENSG00000261087	7	7	6	5	6	2	9	10	24	16	17	17
ENSG00000120963	258	342	480	345	339	302	482	451	343	323	659	425
ENSG00000104490	24	19	99	66	30	29	193	221	509	408	492	376
ENSG00000253629	1	2	2	6	1	2	7	12	32	17	53	36
ENSG00000048392	426	338	683	533	484	333	501	502	483	519	647	704
ENSG00000246263	30	43	35	32	20	11	38	47	30	25	36	38
ENSG00000104517	1620	1642	1681	1310	1277	802	1970	1919	877	952	1199	1275
ENSG00000272037	69	69	57	40	43	25	68	79	42	38	46	54
ENSG00000155090	7046	6088	7007	6716	2152	2883	4954	9823	4454	3899	6972	4407
ENSG00000253669	28	33	30	30	5	7	15	15	23	32	54	26
ENSG00000155096	1427	1319	1538	1185	1346	942	1481	1329	1255	1075	1704	1270
ENSG00000253320	11	16	22	18	11	7	11	17	10	14	23	21
ENSG00000254236	30	11	15	20	25	7	33	22	28	22	8	28
ENSG00000155097	627	467	756	448	469	404	605	497	496	502	674	630
ENSG00000164929	111	94	304	187	91	58	309	179	78	74	48	40
ENSG00000247081	32	18	47	33	23	10	29	17	7	7	17	22
ENSG00000253851	29	22	104	45	26	20	94	46	22	17	17	5
ENSG00000164930	437	403	906	755	531	390	629	539	256	299	429	515
ENSG00000164932	441	257	1001	1057	293	213	1210	945	353	363	665	873
ENSG00000164933	462	418	630	420	413	250	569	605	343	327	517	449
ENSG00000164934	445	453	592	479	373	240	661	586	370	360	607	576
ENSG00000147650	443	504	800	580	962	618	556	587	376	407	683	618
ENSG00000169946	75	50	64	50	1	0	29	40	247	262	398	286
ENSG00000254615	41	69	67	80	65	65	70	95	53	56	72	54
ENSG00000164830	362	351	463	377	323	224	412	411	349	344	438	425
ENSG00000253676	4	22	30	3	15	28	4	2	3	1	21	4
ENSG00000154188	737	552	765	675	47	35	197	294	76	166	54	74
ENSG00000147655	28	36	0	2	2	1	1	0	0	0	0	0
ENSG00000104408	2451	2674	3092	1946	1725	1448	2349	2275	2316	2395	3406	2745
ENSG00000104412	271	277	406	277	264	162	267	272	298	356	486	476
ENSG00000120526	320	219	326	239	291	148	334	275	273	256	356	313
ENSG00000120533	561	556	672	519	473	310	583	531	451	503	744	611
ENSG00000147654	117	102	153	101	89	38	117	113	120	160	160	219
ENSG00000147642	173	151	323	300	21	16	149	254	330	420	1115	1242
ENSG00000104447	350	304	732	567	270	186	901	813	208	234	234	259
ENSG00000147677	2288	2113	2782	1901	1612	1244	2088	1943	2122	2144	3122	2681
ENSG00000147679	385	267	312	311	167	81	383	367	371	363	403	513
ENSG00000164754	2874	2344	2171	1538	1035	805	1886	1544	2226	2188	3264	2690
ENSG00000253327	45	8	8	30	29	3	17	19	26	34	7	39
ENSG00000205002	134	132	7	4	0	0	4	2	72	80	143	156
ENSG00000164758	76	123	90	88	52	24	78	126	56	98	114	116
ENSG00000182197	4436	3843	4225	3042	3384	2530	3737	3699	3175	2621	3498	2416
ENSG00000177570	93	76	62	37	49	39	73	69	96	64	43	24
ENSG00000164761	5166	6170	3271	2907	215	133	2539	4684	2081	2151	1153	1194
ENSG00000136999	435	450	93	51	159	185	332	396	447	214	396	224
ENSG00000136960	2949	2929	5338	3741	1017	823	7277	6716	2584	3238	4031	2898
ENSG00000064313	388	322	499	385	389	217	520	443	286	323	444	422
ENSG00000136982	32	34	39	33	20	18	57	50	76	70	113	94
ENSG00000245330	2	0	27	55	9	2	18	21	115	118	78	219
ENSG00000155792	30	22	671	532	99	74	171	192	1146	1297	2363	2107
ENSG00000254343	0	0	24	28	3	3	14	19	67	84	138	156
ENSG00000187955	624	885	1011	1453	474	315	3913	3084	2267	2840	2342	2382
ENSG00000172172	194	138	229	168	162	102	198	171	184	195	260	215
ENSG00000172167	119	87	154	111	80	41	103	85	73	49	84	68
ENSG00000172164	450	424	1022	751	528	320	316	360	270	273	277	290
ENSG00000170961	465	690	1702	825	306	126	725	635	341	188	336	101
ENSG00000248690	16	38	65	49	26	8	53	43	16	13	16	12
ENSG00000178764	347	281	228	189	211	194	298	339	280	258	461	440
ENSG00000253607	30	56	70	32	29	21	37	45	26	26	49	28
ENSG00000136986	885	1045	1249	1004	844	498	931	1020	672	877	1089	1158
ENSG00000156787	223	129	149	194	153	77	215	176	158	181	190	240
ENSG00000189376	20	38	37	35	28	21	30	38	24	29	61	36
ENSG00000165156	475	448	623	473	432	298	630	442	302	352	474	405
ENSG00000156802	354	233	341	161	131	81	404	202	285	119	342	136
ENSG00000156795	70	44	93	51	102	75	77	85	68	89	117	115
ENSG00000156804	179	132	1629	1046	498	545	323	350	363	464	273	446
ENSG00000176853	523	607	820	562	584	392	755	782	454	449	722	619
ENSG00000214814	1	4	20	11	0	0	15	12	34	8	72	62
ENSG00000271975	36	41	21	20	22	25	68	66	21	40	22	23
ENSG00000164983	249	250	246	201	238	176	528	514	166	181	261	230
ENSG00000183665	97	109	129	92	74	44	113	105	88	73	137	126
ENSG00000245149	14	35	35	27	21	13	30	53	16	22	34	39
ENSG00000170881	641	695	793	628	567	372	683	736	481	476	826	702
ENSG00000147687	325	203	264	323	264	113	371	331	295	271	311	406
ENSG00000253106	16	35	48	19	17	17	20	20	18	16	45	33
ENSG00000147684	500	425	583	414	425	315	486	463	434	435	658	540
ENSG00000170873	30	34	79	64	7	10	18	25	100	87	119	155
ENSG00000104549	777	637	485	354	515	253	673	557	410	345	655	428
ENSG00000164961	868	724	962	715	575	476	821	762	580	587	848	793
ENSG00000253167	54	55	67	43	43	36	72	72	42	43	80	65
ENSG00000156831	161	151	195	130	147	99	154	115	119	125	196	142
ENSG00000173334	2596	2882	1347	1364	723	649	602	1389	817	752	976	586
ENSG00000168672	4	8	22	16	41	28	26	33	5	27	81	107
ENSG00000136997	2667	3465	1767	1523	914	514	1862	2032	1802	2347	2853	2768
ENSG00000249859	73	139	133	111	54	49	122	177	81	108	128	111
ENSG00000153310	171	148	160	134	247	136	175	142	140	120	221	219
ENSG00000153317	2088	1659	2244	1916	1664	1137	1751	1770	1209	1180	1404	1177
ENSG00000132294	1018	987	1736	1560	986	696	1404	1410	867	840	1446	1408
ENSG00000184156	6	11	17	8	2	2	25	38	5	20	8	17
ENSG00000129295	20	15	21	14	8	3	34	39	31	24	48	54
ENSG00000129292	654	600	910	654	612	406	926	836	448	492	723	717
ENSG00000223697	83	68	117	86	89	51	128	113	53	86	93	94
ENSG00000042832	5	2	32	22	4	5	20	45	8	15	30	37
ENSG00000104415	28	23	1536	980	43	47	1136	963	59	56	161	135
ENSG00000104419	2150	2987	5355	4212	2122	1423	2863	3859	2375	2562	3356	3294
ENSG00000008513	1261	1086	1067	795	1107	540	986	1072	517	686	903	1203
ENSG00000066827	101	106	131	118	98	82	135	142	100	93	126	115
ENSG00000259820	17	28	18	12	7	6	27	82	17	17	32	19
ENSG00000131773	119	71	207	160	293	222	245	211	92	72	167	118
ENSG00000169436	2	1	9	3	94	47	5	10	0	1	0	0
ENSG00000167632	276	269	240	163	252	168	252	241	177	142	260	223
ENSG00000104472	481	375	458	303	321	227	386	339	277	250	450	402
ENSG00000259758	622	675	612	556	382	322	1008	1020	438	406	628	609
ENSG00000123908	162	162	178	155	193	116	288	244	108	93	135	151
ENSG00000169398	879	850	1134	850	834	535	804	819	598	535	878	813
ENSG00000105339	272	393	117	83	111	125	105	80	93	60	77	85
ENSG00000022567	92	83	128	73	83	51	122	115	61	59	107	115
ENSG00000184489	15	18	37	17	32	19	46	27	16	17	45	37
ENSG00000171045	66	98	89	63	61	49	104	114	56	64	111	95
ENSG00000198576	39	116	28	29	9	26	28	38	26	11	32	12
ENSG00000234616	3	9	14	13	11	17	14	20	10	14	28	33
ENSG00000130193	50	65	55	39	26	32	63	51	47	43	53	40
ENSG00000180155	254	279	207	174	188	133	230	243	358	424	791	756
ENSG00000247317	19	19	11	7	2	3	26	16	21	20	15	9
ENSG00000160932	2004	1932	1616	1182	781	488	1620	1338	1766	1563	1731	1281
ENSG00000177335	38	18	29	19	12	11	31	39	35	38	91	89
ENSG00000181638	68	69	98	65	52	32	108	95	51	82	104	110
ENSG00000250571	34	53	47	48	47	29	113	119	51	72	77	61
ENSG00000253716	19	14	17	12	21	10	20	11	10	25	25	9
ENSG00000185730	22	19	40	20	23	15	30	22	25	26	37	38
ENSG00000184428	242	266	194	145	129	98	310	290	188	202	316	256
ENSG00000014164	250	215	244	176	197	101	274	289	171	272	237	236
ENSG00000104518	356	339	341	285	209	123	391	378	278	354	369	374
ENSG00000204839	30	38	21	28	12	5	40	30	27	24	45	40
ENSG00000255050	63	63	44	31	37	27	86	66	40	58	70	51
ENSG00000147813	149	196	103	91	116	88	190	221	144	134	181	161
ENSG00000254741	1055	1359	1823	1074	903	768	1229	1253	974	1104	1705	1330
ENSG00000104529	3301	3138	4166	3226	2700	1843	3935	3922	2953	3172	3786	3818
ENSG00000179886	54	34	51	50	31	26	71	63	46	35	74	72
ENSG00000271912	9	16	29	26	10	8	33	28	22	16	31	42
ENSG00000104524	104	57	139	91	87	45	141	97	95	90	145	98
ENSG00000104522	281	281	535	290	380	264	400	346	313	280	521	370
ENSG00000183309	116	86	114	85	114	61	160	107	120	131	169	169
ENSG00000180900	190	180	229	173	128	108	268	259	163	161	261	191
ENSG00000179950	338	410	490	253	238	233	402	341	220	233	446	274
ENSG00000185189	116	218	246	157	203	152	307	279	160	167	227	185
ENSG00000178209	902	872	987	584	850	471	1651	1016	207	178	519	357
ENSG00000178685	48	26	57	55	27	9	64	42	61	60	54	78
ENSG00000178719	283	399	591	294	241	251	296	354	291	308	527	366
ENSG00000178814	58	75	105	72	53	38	136	110	78	101	165	111
ENSG00000197858	259	286	547	291	280	226	449	373	308	274	472	312
ENSG00000179091	590	509	741	527	618	392	694	682	526	506	737	714
ENSG00000179526	384	322	502	387	418	238	448	408	367	365	519	529
ENSG00000179632	991	876	1272	975	851	570	943	1049	831	854	1158	1076
ENSG00000179832	66	69	98	58	101	65	115	112	79	89	96	83
ENSG00000170727	6	29	37	8	13	9	15	16	9	4	20	8
ENSG00000185122	205	243	371	213	285	213	281	284	211	234	385	253
ENSG00000185000	90	102	127	74	78	76	96	90	62	62	94	96
ENSG00000185803	41	56	78	42	48	26	60	36	30	49	88	57
ENSG00000182325	37	34	52	44	44	21	58	49	31	28	47	52
ENSG00000173137	20	26	35	18	19	17	38	36	24	14	53	28
ENSG00000071894	399	378	502	341	311	258	627	523	253	218	526	445
ENSG00000160948	392	464	485	304	288	243	396	351	317	311	580	397
ENSG00000160949	60	66	91	35	37	26	97	57	58	39	110	46
ENSG00000187954	436	426	508	388	344	246	664	586	370	403	558	585
ENSG00000254578	51	48	66	50	35	42	60	68	43	59	90	74
ENSG00000167702	158	274	232	192	190	160	225	242	102	95	163	128
ENSG00000160973	61	86	75	42	52	65	62	67	39	31	53	42
ENSG00000160972	188	173	244	195	261	133	308	295	154	177	275	248
ENSG00000261139	23	15	37	13	11	19	17	15	10	11	29	19
ENSG00000167700	39	44	67	56	44	31	56	66	55	70	65	62
ENSG00000160957	96	78	116	69	50	36	201	95	100	44	153	50
ENSG00000160959	195	174	288	195	205	140	315	257	181	175	303	283
ENSG00000254402	65	53	69	64	66	33	72	83	49	56	98	80
ENSG00000213563	157	131	185	120	152	96	148	123	132	173	200	191
ENSG00000147799	69	76	62	52	60	35	109	97	57	50	79	57
ENSG00000198169	149	186	296	210	171	126	309	272	227	213	327	288
ENSG00000196378	48	41	58	32	51	31	42	48	52	50	60	28
ENSG00000161016	9676	8726	13738	9970	7297	4800	12454	11309	10136	10925	14473	12337
ENSG00000197363	76	73	94	93	76	51	134	158	126	118	152	148
ENSG00000147789	158	133	223	150	151	72	219	177	131	164	252	276
ENSG00000170619	155	125	198	157	126	92	188	146	149	157	241	211
ENSG00000196150	39	24	48	35	21	24	78	46	53	54	60	67
ENSG00000170631	78	76	75	72	67	44	115	93	103	116	104	96
ENSG00000196922	195	162	213	184	123	90	288	229	169	194	226	197
ENSG00000182307	337	300	517	348	369	243	600	465	352	370	516	460
ENSG00000181404	12	7	13	18	20	13	14	5	26	27	21	24
ENSG00000172785	61	45	39	44	54	23	43	31	58	58	50	44
ENSG00000107104	490	446	397	345	152	106	344	499	642	592	1370	1446
ENSG00000080503	2090	2000	1683	1271	613	425	1737	1810	858	854	1225	1134
ENSG00000236199	17	21	11	5	3	10	9	12	6	5	6	8
ENSG00000236404	89	54	84	116	186	92	132	161	43	48	54	85
ENSG00000147852	564	645	1066	892	1448	1145	783	874	273	244	510	533
ENSG00000080608	364	317	411	289	288	174	408	362	310	283	479	445
ENSG00000080298	76	82	42	53	31	20	67	88	14	38	32	39
ENSG00000107249	610	691	322	293	420	258	188	311	140	245	172	304
ENSG00000237009	24	18	6	6	7	13	7	7	1	3	5	6
ENSG00000106688	23	28	279	192	130	57	66	95	438	566	507	461
ENSG00000205808	43	43	76	48	64	50	62	64	53	52	78	57
ENSG00000106993	225	209	260	201	239	152	219	169	199	214	305	270
ENSG00000147853	1012	952	1126	903	723	459	664	744	942	1074	1047	1077
ENSG00000120158	79	82	110	84	62	60	104	117	78	108	116	96
ENSG00000096968	181	185	194	179	168	102	245	249	153	215	175	218
ENSG00000107020	107	84	150	119	116	80	119	91	106	104	181	144
ENSG00000120217	78	43	48	40	120	66	52	57	6	23	8	16
ENSG00000197646	373	262	331	249	492	311	165	178	70	40	78	50
ENSG00000107036	1289	1370	992	879	1109	789	1047	1135	580	580	868	824
ENSG00000099219	238	309	195	131	127	86	250	231	131	141	188	179
ENSG00000183354	327	305	415	288	289	185	473	461	294	280	362	398
ENSG00000137040	204	192	247	209	218	174	278	281	151	158	272	232
ENSG00000137033	10	14	77	59	1	0	6	6	67	121	71	95
ENSG00000147854	423	320	620	414	368	332	615	485	460	468	656	577
ENSG00000107077	279	283	427	310	397	232	401	394	202	274	294	358
ENSG00000137038	141	139	206	154	122	119	220	153	156	171	228	161
ENSG00000153707	66	72	4	9	0	2	34	56	158	262	239	270
ENSG00000153714	245	215	793	416	139	155	679	410	832	1014	1519	1336
ENSG00000107186	725	763	972	759	634	474	1071	1026	572	514	941	862
ENSG00000147862	180	147	38	33	111	77	456	420	607	518	888	678
ENSG00000175893	231	229	234	177	207	141	365	292	184	164	259	258
ENSG00000214110	157	61	62	105	279	59	85	91	88	125	36	92
ENSG00000155158	223	217	282	203	117	118	303	274	164	202	278	262
ENSG00000164975	277	281	503	317	423	363	330	339	308	360	495	381
ENSG00000164985	997	799	1040	704	484	403	1230	954	972	845	1339	961
ENSG00000164989	32	23	37	41	38	12	46	43	53	50	96	76
ENSG00000173068	608	456	726	545	75	52	791	670	418	530	511	543
ENSG00000044459	224	234	212	157	115	74	280	265	177	165	219	184
ENSG00000178031	694	564	959	676	538	264	6108	5012	2408	2225	3213	2522
ENSG00000155876	1150	890	1563	1078	1082	625	1121	1081	1015	1108	1351	1242
ENSG00000147874	156	125	223	160	128	66	165	131	121	137	186	161
ENSG00000147872	899	991	1167	858	431	320	793	895	1404	2821	1486	2025
ENSG00000137145	414	347	458	309	305	224	459	458	340	349	498	445
ENSG00000137154	12182	10156	13746	11355	10006	6546	13782	12342	11657	12652	14978	15106
ENSG00000171843	371	332	238	182	200	173	151	192	109	124	119	88
ENSG00000188352	348	328	458	349	291	191	503	427	216	241	337	267
ENSG00000188921	507	427	254	151	142	115	230	179	148	134	197	141
ENSG00000198642	548	438	660	475	492	290	715	613	475	481	763	651
ENSG00000238271	40	23	35	55	20	17	39	32	17	35	23	41
ENSG00000171889	32	20	59	45	16	21	38	47	22	37	27	29
ENSG00000099810	249	175	305	215	175	152	268	245	281	273	435	355
ENSG00000265194	36	30	50	23	34	12	40	27	40	24	50	37
ENSG00000147889	51	48	133	96	106	60	70	63	101	97	124	113
ENSG00000147883	102	118	358	250	838	401	94	97	210	160	371	267
ENSG00000198680	97	125	169	124	213	125	159	149	151	115	232	203
ENSG00000120159	161	145	191	140	132	103	183	190	145	146	218	179
ENSG00000137055	413	386	579	365	346	272	474	423	375	361	510	475
ENSG00000096872	186	147	106	79	102	75	163	155	176	179	262	228
ENSG00000120156	21	6	36	28	45	19	72	43	293	149	358	220
ENSG00000147894	40	64	42	33	34	26	90	86	47	32	67	51
ENSG00000122729	1521	1137	1402	1002	870	548	1304	1064	1333	1222	1854	1285
ENSG00000107201	88	93	115	84	97	45	114	89	75	84	145	135
ENSG00000197579	342	319	380	271	289	212	409	398	284	319	428	370
ENSG00000235453	38	24	30	25	36	20	45	40	38	33	45	35
ENSG00000165264	311	241	351	231	284	177	274	211	268	238	390	300
ENSG00000203659	10	18	26	4	7	9	9	11	4	7	29	11
ENSG00000241043	9	27	24	7	14	14	12	22	7	12	22	15
ENSG00000137074	220	200	250	184	152	142	284	233	218	254	296	314
ENSG00000086061	1946	1975	1961	1452	929	753	1729	1866	1375	1352	2074	1795
ENSG00000122692	605	598	717	511	398	312	647	614	503	497	698	564
ENSG00000086062	2434	2732	4523	3947	2328	1543	3322	4174	2813	3340	3786	4514
ENSG00000233554	10	13	30	17	21	6	18	22	28	19	36	27
ENSG00000107262	309	384	490	295	296	241	412	402	325	331	467	405
ENSG00000086065	495	486	829	556	523	341	612	555	547	589	930	747
ENSG00000086102	467	336	618	363	412	230	713	523	381	356	625	582
ENSG00000165271	534	409	546	375	402	214	698	534	330	326	610	510
ENSG00000231991	89	72	99	45	76	50	60	49	54	29	101	57
ENSG00000010438	51	31	6	0	4	1	7	2	67	30	6	3
ENSG00000107341	1060	1021	1279	1030	935	672	1041	1203	886	1012	1093	1176
ENSG00000137073	279	250	321	213	286	163	309	303	198	167	310	269
